Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtUnfSF,TotalBsmtSF,HeatingQC,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,TotalBath,TotalHalfBath,HouseAge,RemodelledAge,GarageAge,SalePrice
1,4.110873864,4.189654742,8450,7,1.791759469,5.283203729,4,3,4,3,150,856,5,0,1710,3,0.693147181,4,8,0,0,2,548,3,3,0,4.127134385,0,0,0,0,0,0,2,3,1,5,5,5,208500
2,3.044522438,4.394449155,9600,6,2.197224577,0,3,3,4,3,284,1262,5,0,1262,3,0.693147181,3,6,1,3,2,460,3,3,298,0,0,0,0,0,0,0,5,2,0.693147181,31,31,31,181500
3,4.110873864,4.234106505,11250,7,1.791759469,5.093750201,4,3,4,3,434,920,5,0,1786,3,0.693147181,4,6,1,3,2,608,3,3,0,3.761200116,0,0,0,0,0,0,9,3,1,7,6,7,223500
4,4.262679877,4.110873864,9550,7,1.791759469,0,3,3,3,4,540,756,4,0,1717,3,0.693147181,4,7,1,4,3,642,3,3,0,3.583518938,5.609471795,0,0,0,0,0,2,2,0,91,36,8,140000
5,4.110873864,4.442651256,14260,8,1.791759469,5.860786223,4,3,4,3,490,1145,5,0,2198,4,0.693147181,4,9,1,3,3,836,3,3,192,4.442651256,0,0,0,0,0,0,12,3,1,8,8,8,250000
6,3.931825633,4.454347296,14115,5,1.791759469,0,3,3,4,3,64,796,5,0,1362,1,0.693147181,3,5,0,0,2,480,3,3,40,3.433987204,0,320,0,0,0,700,10,2,1,16,14,16,143000
7,3.044522438,4.33073334,10084,8,1.791759469,5.231108617,4,3,5,3,317,1686,5,0,1694,3,0.693147181,4,7,1,4,2,636,3,3,255,4.060443011,0,0,0,0,0,0,8,3,0,3,2,3,307000
8,4.110873864,4.207028145,10382,7,1.945910149,5.484796933,3,3,4,3,216,1107,5,0,2090,3,0.693147181,3,7,2,3,2,484,3,3,235,5.323009979,5.433722004,0,0,0,0,350,11,3,1,36,36,36,200000
9,3.931825633,3.951243719,6120,7,1.791759469,0,3,3,3,3,952,952,4,0,1774,2,1.098612289,3,8,2,3,2,468,2,3,90,0,5.327876169,0,0,0,0,0,4,2,0,77,58,77,129900
10,5.252273428,3.931825633,7420,5,1.945910149,0,3,3,3,3,140,991,5,0,1077,2,1.098612289,3,5,2,3,1,205,4,3,0,1.609437912,0,0,0,0,0,0,1,2,0,69,58,69,118000
